13:39:06 web.1  | started with pid 4375
13:39:12 web.1  | 1085,-36.4050838,145.2231985
13:39:12 web.1  | 1090,-36.44586731,145.9883469
13:39:12 web.1  | 435,-37.91239,144.68286
13:39:12 web.1  | 556,-37.81053,144.94787
13:39:12 web.1  | 667,-36.7696345,145.1594302
13:39:12 web.1  | 926,-37.48655671,149.6619522
13:39:12 web.1  | 931,-37.69182923,148.8193094
13:39:12 web.1  | 936,-37.82651781,147.8643272
13:39:12 web.1  | 945,-38.50996919,146.7090816
13:39:12 web.1  | 950,-38.46965445,145.1902681
13:39:12 web.1  | 955,-38.66985202,146.1941178
13:39:12 web.1  | 962,-38.81059994,146.0969161
13:39:12 web.1  | 969,-38.62686967,145.6043706
13:39:12 web.1  | 978,-38.27781976,146.4139314
13:39:12 web.1  | 983,-38.40417956,146.0719268
13:39:12 web.1  | 992,-38.0740317,145.8963808
13:39:12 web.1  | 998,-37.86483199,147.0279053
13:39:12 web.1  | 1017,-36.73575964,147.1588627
13:39:12 web.1  | 1024,-37.15815049,145.6592663
13:39:12 web.1  | 1034,-37.2214842,145.7370875
13:39:12 web.1  | 1037,-37.15101277,145.5901437
13:39:12 web.1  | 1044,-37.79368,145.10582
13:39:12 web.1  | 1052,-37.02158743,146.1050622
13:39:12 web.1  | 1057,-37.79986,145.14169
13:39:12 web.1  | 1062,-37.22162054,145.6815372
13:39:12 web.1  | 1069,-37.41695766,144.9958085
13:39:12 web.1  | 1079,-36.4225323,145.1600012
13:39:12 web.1  | 1086,-36.4050838,145.2231985
13:39:12 web.1  | 1091,-36.42292866,146.3584432
13:39:12 web.1  | 1097,-36.0598253,146.6163325
13:39:12 web.1  | 1105,-37.97947323,147.0332792
13:39:12 web.1  | 1112,-37.87986757,147.4227509
13:39:12 web.1  | 1117,-38.07647348,147.1375623
13:39:12 web.1  | 1124,-37.77996,144.79216
13:39:12 web.1  | 1139,-37.75976,144.82095
13:39:12 web.1  | 1154,-37.73659,144.85137
13:39:12 web.1  | 1167,-37.28855611,143.5334801
13:39:12 web.1  | 1040,-37.79038,145.10193
13:39:12 web.1  | 1050,-37.79886,145.12254
13:39:12 web.1  | 1055,-37.02991571,146.0913671
13:39:12 web.1  | 1060,-37.55219559,145.6591736
13:39:12 web.1  | 1067,-36.96665731,145.7042392
13:39:12 web.1  | 1074,-36.07102423,145.6962714
13:39:12 web.1  | 1084,-36.44945336,144.9703759
13:39:12 web.1  | 1089,-36.44586731,145.9883469
13:39:12 web.1  | 1094,-36.38881159,146.4611903
13:39:12 web.1  | 1102,-37.81786,144.80694
13:39:12 web.1  | 1110,-38.10236495,147.1000298
13:39:12 web.1  | 1115,-37.88146987,147.5592729
13:39:12 web.1  | 1120,-38.4930559,145.9273709
13:39:12 web.1  | 1129,-38.56576336,145.5598022
13:39:12 web.1  | 1151,-37.74259,144.84682
13:39:12 web.1  | 1163,-37.72261,144.8669
13:39:12 web.1  | 1170,-37.71515,144.87672
13:39:12 web.1  | 960,-38.85311995,146.24562
13:39:12 web.1  | 968,-38.62686967,145.6043706
13:39:12 web.1  | 977,-38.20183832,147.096743
13:39:12 web.1  | 982,-38.40417956,146.0719268
13:39:12 web.1  | 991,-38.32701931,146.2582763
13:39:12 web.1  | 997,-37.94082394,146.9897046
13:39:12 web.1  | 1016,-36.44127212,146.3695737
13:39:12 web.1  | 1023,-37.15815049,145.6592663
13:39:12 web.1  | 1030,-37.13646141,145.590586
13:39:12 web.1  | 1038,-37.89662439,144.9897559
13:39:12 web.1  | 1046,-37.25835409,145.4565502
13:39:12 web.1  | 1053,-37.02158743,146.1050622
13:39:12 web.1  | 1058,-36.98202702,145.9855227
13:39:12 web.1  | 1063,-37.22162054,145.6815372
13:39:12 web.1  | 1072,-36.57850998,145.9607577
13:39:12 web.1  | 1080,-36.4225323,145.1600012
13:39:12 web.1  | 1087,-36.46370719,145.7312071
13:39:12 web.1  | 1092,-36.42292866,146.3584432
13:39:12 web.1  | 1096,-36.0598253,146.6163325
13:39:12 web.1  | 1104,-37.97947323,147.0332792
13:39:12 web.1  | 1111,-38.10236495,147.1000298
13:39:12 web.1  | 1116,-38.07647348,147.1375623
13:39:12 web.1  | 1123,-37.77996,144.79216
13:39:12 web.1  | 1133,-37.76965,144.8078
13:39:12 web.1  | 1153,-37.73659,144.85137
13:39:12 web.1  | 1164,-37.22685004,142.8952316
13:39:12 web.1  | 1171,-37.71011,144.8832
13:39:12 web.1  | 1176,-36.21442281,147.8481421
13:39:12 web.1  | 1181,-36.2530244,147.0026617
13:39:12 web.1  | 1186,-36.72886434,147.1520306
13:39:12 web.1  | 1191,-36.39654176,145.4318359
13:39:12 web.1  | 1217,-37.35244069,144.5688513
13:39:12 web.1  | 1222,-37.41030362,144.7493194
13:39:12 web.1  | 1227,-37.33870806,144.6034203
13:39:12 web.1  | 1232,-36.12785549,144.7306569
13:39:12 web.1  | 1039,-37.89662439,144.9897559
13:39:12 web.1  | 1047,-37.25835409,145.4565502
13:39:12 web.1  | 1054,-37.79873,145.13047
13:39:12 web.1  | 1059,-36.98202702,145.9855227
13:39:12 web.1  | 1066,-36.96665731,145.7042392
13:39:12 web.1  | 1073,-36.57850998,145.9607577
13:39:12 web.1  | 1083,-36.44945336,144.9703759
13:39:12 web.1  | 1088,-36.46370719,145.7312071
13:39:12 web.1  | 1093,-36.38881159,146.4611903
13:39:12 web.1  | 1172,-36.13848729,146.9801127
13:39:12 web.1  | 1177,-36.16000645,147.952479
13:39:12 web.1  | 1182,-36.2530244,147.0026617
